"File","Command"
"academy.py","/academy"
"academy_extended.py","/academy_extended"
"academy_extended.py","/academy_nft"
"academy_extended.py","/academy_dao"
"admin.py","/stats"
"admin_groups.py","/addgroup"
"admin_groups.py","/groups"
"admin_rbac.py","/setrole"
"admin_rbac.py","/myrole"
"admin_requests.py","/requestadmin"
"admin_requests.py","/approve"
"admin_requests.py","/deny"
"admin_requests.py","/negotiations"
"admin_stats.py","/admin_stats"
"ai_router.py","/ai"
"ai_router.py","/menu"
"ai_router.py","/whyus"
"ai_router.py","/familyguide"
"anti.py","/anti"
"ask.py","/ask"
"backup.py","/backup"
"broadcast.py","/broadcast_red"
"budget.py","/budget"
"categories.py","/addcategory"
"categories.py","/categories"
"cbdc.py","/cbdc"
"city.py","/city"
"compare.py","/compare"
"contact.py","/contact"
"course_progress.py","/course_progress"
"crypto.py","/crypto"
"daily.py","/daily"
"dashboard_simple.py","/home"
"dashboard_simple.py","📝 🏠 Home"
"dashboard_simple.py","📝 💰 Wealth"
"dashboard_simple.py","📝 📊 תקציב"
"dashboard_simple.py","📝 📈 פנסיה"
"dashboard_simple.py","📝 ➕ הוצאה"
"dashboard_simple.py","📝 💰 הכנסה"
"dashboard_simple.py","📝 🎓 Learn"
"dashboard_simple.py","📝 🤖 AI"
"dashboard_simple.py","📝 🌍 Community"
"dashboard_simple.py","📝 🎁 Rewards"
"dashboard_simple.py","📝 👤 Profile"
"dashboard_simple.py","📝 ⚙️ Settings"
"dashboard_simple.py","📝 🔙 חזור"
"dbstats.py","/dbstats"
"db_test.py","/db_test"
"debug.py","/debug"
"decentral.py","/decentral"
"donate.py","/donate"
"edu.py","/edu"
"expenses.py","/addexpense"
"expenses.py","/adde"
"expenses.py","/expenses"
"export.py","/export"
"familygroup.py","/familygroup"
"family_finance.py","/setincome"
"family_finance.py","/addexpense"
"family_finance.py","/mysavings"
"faq.py","/faq"
"feedback.py","/feedback"
"fix_users.py","/fix_users"
"gamification.py","/stats"
"generator_handler.py","/generate_command"
"gift.py","/gift"
"health.py","/health"
"help.py","/help"
"household.py","/household"
"household.py","/shopping"
"household.py","/chore"
"id.py","/id"
"import_users.py","/importusers"
"incomes.py","/addincome"
"incomes.py","/incomes"
"init_donations.py","/init_donations"
"init_events.py","/init_events"
"init_indexes.py","/init_indexes"
"init_useless_log.py","/init_useless_log"
"keyboard.py","/keyboard"
"keyboard.py","/hide"
"keyboard.py","📝 💰 חיסכון"
"keyboard.py","📝 🏠 כלכלת הבית"
"keyboard.py","📝 📚 אקדמיה"
"keyboard.py","📝 👥 קהילה"
"keyboard.py","📝 📈 סיכום יומי"
"keyboard.py","📝 📝 פידבק"
"keyboard.py","📝 ℹ️ עזרה"
"language.py","/language"
"loadplan.py","/loadplan"
"market.py","/market"
"menu.py","/menu"
"miniapp.py","/miniapp"
"morning.py","/morning"
"mydata.py","/mydata"
"ocr.py","/receipt"
"pension.py","/pension"
"profile.py","/profile"
"profile_citizen.py","/profile"
"profile_citizen.py","/xp"
"qr.py","/qr"
"quiz.py","/quiz"
"receipt.py","/receipt"
"ref.py","/ref"
"report.py","/report"
"report_pension.py","/report_pension"
"request_admin.py","/requestadmin"
"saveplan.py","/saveplan"
"seed_courses.py","/seed_courses"
"seed_kg.py","/seed_kg"
"setwallet.py","/setwallet"
"socio.py","/socio"
"start.py","/start"
"stats.py","/stats"
"stats.py","/top"
"stats_useless.py","/stats_useless"
"tip.py","/tip"
"useless.py","/useless"
"wallet.py","/setwallet"
"webapp.py","/app"
"welcome_onboarding.py","/start"
